descripcion,categoria,monto,descripcion_limpia
bp,Transporte,401.13,bp
compra BP,Transporte,276.06,compra bp
*Shell*,Transporte,295.11,shell
$Shell,Transporte,381.15,shell
Shell,Transporte,393.71,shell
compra Shell,Transporte,36.1,compra shell
$Shell,Transporte,362.75,shell
Mobil,Transporte,440.85,mobil
compra Mobil,Transporte,69.4,compra mobil
mobil,Transporte,239.36,mobil
mobil,Transporte,210.7,mobil
COMPRA EN MOBIL,Transporte,91.96,compra en mobil
g500,Transporte,366.68,g500
pago G500,Transporte,25.86,pago g500
G500,Transporte,353.1,g500
g500,Transporte,363.77,g500
G500,Transporte,416.86,g500
COMPRA EN TOTALENERGIES,Transporte,300.03,compra en totalenergies
COMPRA EN TOTALENERGIES,Transporte,223.33,compra en totalenergies
COMPRA EN TOTALENERGIES,Transporte,262.83,compra en totalenergies
pago con tarjeta en TotalEnergies,Transporte,142.89,pago con tarjeta en totalenergies
COMPRA EN TOTALENERGIES,Transporte,438.62,compra en totalenergies
tag pase,Transporte,461.0,tag pase
Tag Pase,Transporte,462.8,tag pase
COMPRA EN TAG PASE,Transporte,332.66,compra en tag pase
compra TAG Pase,Transporte,296.62,compra tag pase
pago con tarjeta en TAG Pase,Transporte,223.58,pago con tarjeta en tag pase
COMPRA EN URBANO,Transporte,423.41,compra en urbano
*Urbano*,Transporte,78.95,urbano
Urbano,Transporte,492.72,urbano
urbano,Transporte,79.84,urbano
pago con tarjeta en Urbano,Transporte,179.43,pago con tarjeta en urbano
$Mexibus,Transporte,269.04,mexibus
COMPRA EN MEXIBUS,Transporte,311.79,compra en mexibus
pago con tarjeta en Mexibus,Transporte,377.24,pago con tarjeta en mexibus
mexibus,Transporte,398.14,mexibus
pago con tarjeta en Mexibus,Transporte,74.85,pago con tarjeta en mexibus
cablebus,Transporte,277.95,cablebus
$Cablebus,Transporte,186.25,cablebus
pago Cablebus,Transporte,250.8,pago cablebus
compra Cablebus,Transporte,301.79,compra cablebus
CABLEBUS,Transporte,139.15,cablebus
pago con tarjeta en Tren Ligero,Transporte,259.22,pago con tarjeta en tren ligero
$Tren Ligero,Transporte,36.26,tren ligero
compra Tren Ligero,Transporte,193.95,compra tren ligero
$Tren Ligero,Transporte,125.65,tren ligero
pago Tren Ligero,Transporte,338.5,pago tren ligero
*verificacion*,Transporte,488.26,verificacion
pago con tarjeta en verificacion,Transporte,91.36,pago con tarjeta en verificacion
$verificacion,Transporte,433.1,verificacion
COMPRA EN VERIFICACION,Transporte,261.05,compra en verificacion
compra verificacion,Transporte,168.77,compra verificacion
*tenencia*,Transporte,224.86,tenencia
COMPRA EN TENENCIA,Transporte,451.07,compra en tenencia
compra tenencia,Transporte,37.54,compra tenencia
COMPRA EN TENENCIA,Transporte,301.98,compra en tenencia
compra tenencia,Transporte,392.25,compra tenencia
pago refrendo,Transporte,271.71,pago refrendo
compra refrendo,Transporte,212.37,compra refrendo
$refrendo,Transporte,387.37,refrendo
refrendo,Transporte,107.33,refrendo
*refrendo*,Transporte,474.14,refrendo
TALLER MECANICO,Transporte,329.12,taller mecanico
compra taller mecanico,Transporte,32.19,compra taller mecanico
pago taller mecanico,Transporte,436.16,pago taller mecanico
COMPRA EN TALLER MECANICO,Transporte,33.01,compra en taller mecanico
*taller mecanico*,Transporte,141.87,taller mecanico
taller Mecanico,Transporte,1500.00,taller mecanico
pago taller mecanico,Transporte,1300.00,pago taller mecanico
reparacion en taller mecanico,Transporte,1200.00,reparacion en taller mecanico
servicio taller mecanico,Transporte,1400.00,servicio taller mecanico
taller de autos,Transporte,1600.00,taller de autos
taller de carros,Transporte,1550.00,taller de carros
mecanico de autos,Transporte,1700.00,mecanico de autos
mecanico,Transporte,1800.00,mecanico
servicio mecanico,Transporte,1650.00,servicio mecanico
reparacion de auto,Transporte,2000.00,reparacion de auto
reparacion de carro,Transporte,1900.00,reparacion de carro
cambio de aceite,Transporte,800.00,cambio de aceite
*refaccionaria*,Transporte,342.51,refaccionaria
COMPRA EN REFACCIONARIA,Transporte,69.97,compra en refaccionaria
Refaccionaria,Transporte,105.7,refaccionaria
compra refaccionaria,Transporte,287.23,compra refaccionaria
COMPRA EN REFACCIONARIA,Transporte,67.73,compra en refaccionaria
COMPRA EN AUTOZONE,Transporte,366.69,compra en autozone
COMPRA EN AUTOZONE,Transporte,407.29,compra en autozone
autozone,Transporte,473.32,autozone
$Autozone,Transporte,118.39,autozone
*Autozone*,Transporte,450.24,autozone
*llanteria*,Transporte,323.96,llanteria
compra llanteria,Transporte,119.79,compra llanteria
LLANTERIA,Transporte,78.93,llanteria
LLANTERIA,Transporte,299.86,llanteria
pago llanteria,Transporte,448.48,pago llanteria
Vulcanizadora,Transporte,184.07,vulcanizadora
pago vulcanizadora,Transporte,194.27,pago vulcanizadora
*vulcanizadora*,Transporte,148.67,vulcanizadora
Vulcanizadora,Transporte,185.69,vulcanizadora
pago con tarjeta en vulcanizadora,Transporte,229.34,pago con tarjeta en vulcanizadora
ALINEACION Y BALANCEO,Transporte,475.26,alineacion y balanceo
$alineacion y balanceo,Transporte,394.28,alineacion y balanceo
compra alineacion y balanceo,Transporte,436.86,compra alineacion y balanceo
COMPRA EN ALINEACION Y BALANCEO,Transporte,492.98,compra en alineacion y balanceo
*alineacion y balanceo*,Transporte,403.93,alineacion y balanceo
compra autolavado,Transporte,252.69,compra autolavado
compra autolavado,Transporte,148.97,compra autolavado
COMPRA EN AUTOLAVADO,Transporte,355.45,compra en autolavado
pago con tarjeta en autolavado,Transporte,143.79,pago con tarjeta en autolavado
$autolavado,Transporte,329.63,autolavado
car wash,Transporte,83.49,car wash
pago car wash,Transporte,150.71,pago car wash
$car wash,Transporte,458.86,car wash
Car Wash,Transporte,411.23,car wash
pago con tarjeta en car wash,Transporte,151.55,pago con tarjeta en car wash
compra boletos de autobus,Transporte,214.52,compra boletos de autobus
$boletos de autobus,Transporte,418.28,boletos de autobus
*boletos de autobus*,Transporte,71.16,boletos de autobus
$boletos de autobus,Transporte,85.71,boletos de autobus
pago con tarjeta en boletos de autobus,Transporte,147.92,pago con tarjeta en boletos de autobus
COMPRA EN ADO,Transporte,140.35,compra en ado
pago con tarjeta en ADO,Transporte,257.25,pago con tarjeta en ado
compra ADO,Transporte,221.01,compra ado
pago ADO,Transporte,99.82,pago ado
compra ADO,Transporte,59.74,compra ado
etn,Transporte,390.07,etn
Etn,Transporte,421.8,etn
etn,Transporte,365.14,etn
*ETN*,Transporte,312.99,etn
$ETN,Transporte,248.5,etn
COMPRA EN PRIMERA PLUS,Transporte,469.68,compra en primera plus
Primera Plus,Transporte,252.2,primera plus
primera plus,Transporte,279.12,primera plus
PRIMERA PLUS,Transporte,305.64,primera plus
compra Primera Plus,Transporte,258.26,compra primera plus
pago vuelo,Transporte,319.2,pago vuelo
pago vuelo,Transporte,71.17,pago vuelo
pago con tarjeta en vuelo,Transporte,188.74,pago con tarjeta en vuelo
compra vuelo,Transporte,257.84,compra vuelo
COMPRA EN VUELO,Transporte,228.72,compra en vuelo
*Aeromexico*,Transporte,56.45,aeromexico
pago Aeromexico,Transporte,403.72,pago aeromexico
AEROMEXICO,Transporte,150.63,aeromexico
pago Aeromexico,Transporte,69.48,pago aeromexico
Aeromexico,Transporte,63.96,aeromexico
compra Volaris,Transporte,85.67,compra volaris
pago con tarjeta en Volaris,Transporte,234.08,pago con tarjeta en volaris
COMPRA EN VOLARIS,Transporte,384.03,compra en volaris
Volaris,Transporte,384.34,volaris
Volaris,Transporte,352.29,volaris
$VivaAerobus,Transporte,490.68,vivaaerobus
pago VivaAerobus,Transporte,254.92,pago vivaaerobus
pago con tarjeta en VivaAerobus,Transporte,473.15,pago con tarjeta en vivaaerobus
*VivaAerobus*,Transporte,499.69,vivaaerobus
Vivaaerobus,Transporte,247.14,vivaaerobus
visitar familiares,Transporte,500.00,visitar familiares
visita a familiares,Transporte,450.00,visita a familiares
viaje a visitar familiares,Transporte,800.00,viaje a visitar familiares
paseo familiar,Transporte,300.00,paseo familiar
visita a la familia,Transporte,350.00,visita a la familia
viaje familiar,Transporte,600.00,viaje familiar
visita a los abuelos,Transporte,250.00,visita a los abuelos
visita a los padres,Transporte,280.00,visita a los padres
visita a los tios,Transporte,230.00,visita a los tios
visita a los primos,Transporte,220.00,visita a los primos
*farmacia*,Salud,147.52,farmacia
Farmacia,Salud,1123.43,farmacia
FARMACIA,Salud,1394.15,farmacia
pago farmacia,Salud,690.47,pago farmacia
pago farmacia,Salud,1143.09,pago farmacia
doctor,Salud,1282.37,doctor
doctora,Salud,1185.37,doctora
Doctora,Salud,1555.00,doctora
pago doctor,Salud,831.41,pago doctor
*doctor*,Salud,151.81,doctor
COMPRA EN DOCTOR,Salud,422.01,compra en doctor
pago doctor,Salud,1339.0,pago doctor
COMPRA EN DENTISTA,Salud,717.45,compra en dentista
*dentista*,Salud,191.5,dentista
COMPRA EN DENTISTA,Salud,855.29,compra en dentista
$dentista,Salud,546.25,dentista
pago dentista,Salud,828.24,pago dentista
pago hospital,Salud,134.16,pago hospital
pago hospital,Salud,129.78,pago hospital
*hospital*,Salud,359.66,hospital
pago hospital,Salud,1414.69,pago hospital
HOSPITAL,Salud,198.04,hospital
clinica,Salud,173.76,clinica
compra clinica,Salud,662.7,compra clinica
Clinica,Salud,771.69,clinica
COMPRA EN CLINICA,Salud,480.36,compra en clinica
pago con tarjeta en clinica,Salud,1175.58,pago con tarjeta en clinica
pago con tarjeta en seguro,Salud,570.92,pago con tarjeta en seguro
seguro,Salud,1132.62,seguro
compra seguro,Salud,254.66,compra seguro
COMPRA EN SEGURO,Salud,502.13,compra en seguro
seguro,Salud,1101.77,seguro

medicina,Salud,250.00,medicina
pago de medicina,Salud,230.00,pago de medicina
compra de medicinas,Salud,280.00,compra de medicinas
medicina recetada,Salud,300.00,medicina recetada
farmacia medicamento,Salud,200.00,farmacia medicamento
medico general,Salud,500.00,medico general
consulta medica,Salud,600.00,consulta medica
pago medico,Salud,550.00,pago medico
consulta con medico,Salud,580.00,consulta con medico
medico particular,Salud,700.00,medico particular
IMSS,Salud,200.00,imss
pago IMSS,Salud,250.00,pago imss
cuota IMSS,Salud,300.00,cuota imss
ISSSTE,Salud,200.00,issste
pago ISSSTE,Salud,250.00,pago issste
cuota ISSSTE,Salud,300.00,cuota issste
seguro de gastos medicos,Salud,1500.00,seguro de gastos medicos
pago de seguro medico,Salud,1400.00,pago de seguro medico
seguro de salud,Salud,1300.00,seguro de salud
pago de seguro de gastos medicos,Salud,1600.00,pago de seguro de gastos medicos
servicio de salud,Salud,400.00,servicio de salud
atencion medica,Salud,450.00,atencion medica
urgencias medicas,Salud,800.00,urgencias medicas
hospital,Salud,2000.00,hospital
pago de hospital,Salud,1800.00,pago de hospital
hospitalizacion,Salud,2500.00,hospitalizacion
analisis clinicos,Salud,350.00,analisis clinicos
laboratorio clinico,Salud,400.00,laboratorio clinico
estudios medicos,Salud,500.00,estudios medicos
rayos x,Salud,300.00,rayos x
ultrasonido,Salud,600.00,ultrasonido
resonancia magnetica,Salud,3000.00,resonancia magnetica
dentista,Salud,800.00,dentista
consulta dental,Salud,700.00,consulta dental
limpieza dental,Salud,400.00,limpieza dental
ortodoncia,Salud,1500.00,ortodoncia
optometrista,Salud,400.00,optometrista
lentes,Salud,1200.00,lentes
lentes de contacto,Salud,900.00,lentes de contacto
psicologo,Salud,600.00,psicologo
psicologa,Salud,500.00,psicologa
Psicologa,Salud,650.00,psicologa
terapia psicologica,Salud,700.00,terapia psicologica
psiquiatra,Salud,800.00,psiquiatra
nutriologo,Salud,500.00,nutriologo
consulta de nutricion,Salud,450.00,consulta de nutricion
medicina alternativa,Salud,350.00,medicina alternativa
acupuntura,Salud,400.00,acupuntura
quiropractico,Salud,500.00,quiropractico
fisioterapia,Salud,600.00,fisioterapia
rehabilitacion fisica,Salud,700.00,rehabilitacion fisica
vacuna,Salud,300.00,vacuna
vacunacion,Salud,350.00,vacunacion
Medicamento*,Salud,199.00,medicamento
medicamentos,Salud,199.00,medicamentos
*medicamentos,Salud,199.00,medicamentos
Medicamentos,Salud,199.00,medicamentos
medicamento generico,Salud,150.00,medicamento generico
medicamento controlado,Salud,400.00,medicamento controlado
receta medica,Salud,50.00,receta medica
cita medica,Salud,100.00,cita medica
emergencia medica,Salud,1000.00,emergencia medica
ambulancia,Salud,1500.00,ambulancia
servicio de ambulancia,Salud,1200.00,servicio de ambulancia
seguro de vida,Salud,800.00,seguro de vida
pago de seguro de vida,Salud,750.00,pago de seguro de vida
Medicamento,Salud,158.93,medicamento
compra medicamento,Salud,1374.47,compra medicamento
pago con tarjeta en medicamento,Salud,253.25,pago con tarjeta en medicamento
pago con tarjeta en medicamento,Salud,1051.51,pago con tarjeta en medicamento
Medicamento,Salud,1200.88,medicamento
$receta,Salud,1475.26,receta
COMPRA EN RECETA,Salud,754.36,compra en receta
pago receta,Salud,333.85,pago receta
receta,Salud,190.98,receta
COMPRA EN RECETA,Salud,1419.82,compra en receta
$análisis,Salud,950.83,analisis
pago análisis,Salud,637.73,pago analisis
pago con tarjeta en análisis,Salud,361.01,pago con tarjeta en analisis
ANÁLISIS,Salud,1256.69,analisis
Análisis,Salud,180.98,analisis
*rayos x*,Salud,1337.3,rayos x
RAYOS X,Salud,936.18,rayos x
compra rayos x,Salud,343.45,compra rayos x
RAYOS X,Salud,1161.53,rayos x
compra rayos x,Salud,315.45,compra rayos x
VACUNA,Salud,414.22,vacuna
COMPRA EN VACUNA,Salud,1147.02,compra en vacuna
pago con tarjeta en vacuna,Salud,930.12,pago con tarjeta en vacuna
Vacuna,Salud,228.08,vacuna
pago con tarjeta en vacuna,Salud,647.64,pago con tarjeta en vacuna
pago con tarjeta en psicologo,Salud,162.13,pago con tarjeta en psicologo
pago psicologo,Salud,1306.98,pago psicologo
pago con tarjeta en psicologo,Salud,560.67,pago con tarjeta en psicologo
pago con tarjeta en psicologo,Salud,871.2,pago con tarjeta en psicologo
pago psicologo,Salud,671.83,pago psicologo
$nutriologo,Salud,463.66,nutriologo
Nutriologo,Salud,168.3,nutriologo
pago nutriologo,Salud,213.46,pago nutriologo
Nutriologo,Salud,1488.07,nutriologo
pago nutriologo,Salud,793.21,pago nutriologo
FISIOTERAPIA,Salud,1254.55,fisioterapia
COMPRA EN FISIOTERAPIA,Salud,1026.96,compra en fisioterapia
COMPRA EN FISIOTERAPIA,Salud,892.02,compra en fisioterapia
compra fisioterapia,Salud,1330.08,compra fisioterapia
FISIOTERAPIA,Salud,1315.43,fisioterapia
compra optometria,Salud,320.28,compra optometria
pago con tarjeta en optometria,Salud,567.61,pago con tarjeta en optometria
pago con tarjeta en optometria,Salud,1402.13,pago con tarjeta en optometria
optometria,Salud,966.06,optometria
$optometria,Salud,364.91,optometria
Audiologia,Salud,1333.22,audiologia
pago con tarjeta en audiologia,Salud,140.95,pago con tarjeta en audiologia
*audiologia*,Salud,107.2,audiologia
Audiologia,Salud,1140.91,audiologia
pago audiologia,Salud,1245.15,pago audiologia
*cardiologia*,Salud,370.39,cardiologia
compra cardiologia,Salud,883.78,compra cardiologia
COMPRA EN CARDIOLOGIA,Salud,463.73,compra en cardiologia
COMPRA EN CARDIOLOGIA,Salud,1246.15,compra en cardiologia
$cardiologia,Salud,496.68,cardiologia
*pediatra*,Salud,857.77,pediatra
pago pediatra,Salud,578.62,pago pediatra
Pediatra,Salud,243.51,pediatra
pediatra,Salud,343.25,pediatra
pediatra,Salud,194.97,pediatra
compra ginecologa,Salud,1179.38,compra ginecologa
compra ginecologo,Salud,915.04,compra ginecologo
compra Ginecologo,Salud,181.09,compra ginecologo
COMPRA EN GINECOLOGO,Salud,164.04,compra en ginecologo
pago ginecologa,Salud,1486.21,pago ginecologa
tratamiento medico,Salud,1500.00,tratamiento medico
tratamiento de cancer,Salud,5000.00,tratamiento de cancer
tratamiento,Salud,3500.00,tratamiento
cancer,Salud,3000.00,cancer
tratamiento para cancer de ovario,Salud,5600.00,tratamiento para cancer de ovario
quimioterapia,Salud,8000.00,quimioterapia
radioterapia,Salud,6000.00,radioterapia
Cruz Roja,Salud,500.00,cruz roja
pago Cruz Roja,Salud,450.00,pago cruz roja
donacion Cruz Roja,Salud,300.00,donacion cruz roja
quiste,Salud,2000.00,quiste
operacion de quiste,Salud,2500.00,operacion de quiste
quiste de ovario,Salud,3000.00,quiste de ovario
ovarios,Salud,1800.00,ovarios
problemas de ovarios,Salud,2200.00,problemas de ovarios
menopausia,Salud,600.00,menopausia
tratamiento de menopausia,Salud,700.00,tratamiento de menopausia
sindrome de ovario poliquistico,Salud,1500.00,sindrome de ovario poliquistico
ginecologo,Salud,800.00,ginecologo
ginecolog*,Salud,800.00,ginecologo
ginecologa*,Salud,800.00,ginecologa
consulta ginecologica,Salud,700.00,consulta ginecologica
ginecologia,Salud,600.00,ginecologia
ginecologia,Salud,700.00,ginecologia
ginecología,Salud,700.00,ginecologia
embarazo,Salud,2000.00,embarazo
control de embarazo,Salud,1500.00,control de embarazo
Embarazo,Salud,2800.00,embarazo
ecografia obstetrica,Salud,1200.00,ecografia obstetrica
maternidad,Salud,3000.00,maternidad
parto,Salud,8000.00,parto
cesarea,Salud,10000.00,cesarea
lactancia,Salud,500.00,lactancia
asesoria de lactancia,Salud,400.00,asesoria de lactancia
pediatra,Salud,700.00,pediatra
consulta pediatrica,Salud,650.00,consulta pediatrica
pediatria,Salud,600.00,pediatria
pediatría,Salud,600.00,pediatria
neumologo,Salud,800.00,neumologo
cardiologo,Salud,900.00,cardiologo
dermatologo,Salud,750.00,dermatologo
oftalmologo,Salud,700.00,oftalmologo
traumatologo,Salud,850.00,traumatologo
endocrinologo,Salud,800.00,endocrinologo
gastroenterologo,Salud,750.00,gastroenterologo
oncologo,Salud,1000.00,oncologo
oncologia,Salud,1200.00,oncologia
urólogo,Salud,800.00,urologo
nefrologo,Salud,850.00,nefrologo
reumatologo,Salud,750.00,reumatologo
alergologo,Salud,700.00,alergologo
psiquiatra,Salud,900.00,psiquiatra
psicologia,Salud,600.00,psicologia
terapia psicologica,Salud,700.00,terapia psicologica
terapia de pareja,Salud,800.00,terapia de pareja
terapia familiar,Salud,750.00,terapia familiar
terapia ocupacional,Salud,650.00,terapia ocupacional
nutricion clinica,Salud,500.00,nutricion clinica
estudios de laboratorio,Salud,400.00,estudios de laboratorio
biopsia,Salud,2000.00,biopsia
tomografia,Salud,1500.00,tomografia
resonancia,Salud,3000.00,resonancia
traumatologo,Salud,1006.6,traumatologo
traumatologo,Salud,1161.57,traumatologo
*traumatologo*,Salud,191.88,traumatologo
compra traumatologo,Salud,553.05,compra traumatologo
TRAUMATOLOGO,Salud,453.51,traumatologo
*Farmacias del Ahorro*,Salud,724.26,farmacias del ahorro
pago Farmacias del Ahorro,Salud,1495.97,pago farmacias del ahorro
compra Farmacias del Ahorro,Salud,243.07,compra farmacias del ahorro
pago con tarjeta en Farmacias del Ahorro,Salud,329.07,pago con tarjeta en farmacias del ahorro
*Farmacias del Ahorro*,Salud,1256.29,farmacias del ahorro
farmacias similares,Salud,1275.93,farmacias similares
farmacias similares,Salud,1016.32,farmacias similares
FARMACIAS SIMILARES,Salud,1431.21,farmacias similares
COMPRA EN FARMACIAS SIMILARES,Salud,705.27,compra en farmacias similares
Farmacias Similares,Salud,1373.33,farmacias similares
Farmacias San Pablo,Salud,993.94,farmacias san pablo
$Farmacias San Pablo,Salud,1164.13,farmacias san pablo
Farmacias San Pablo,Salud,1477.57,farmacias san pablo
compra Farmacias San Pablo,Salud,549.04,compra farmacias san pablo
$Farmacias San Pablo,Salud,421.94,farmacias san pablo
FARMACIAS GUADALAJARA,Salud,143.59,farmacias guadalajara
pago con tarjeta en Farmacias Guadalajara,Salud,1100.89,pago con tarjeta en farmacias guadalajara
pago Farmacias Guadalajara,Salud,1310.1,pago farmacias guadalajara
COMPRA EN FARMACIAS GUADALAJARA,Salud,322.94,compra en farmacias guadalajara
pago con tarjeta en Farmacias Guadalajara,Salud,1316.07,pago con tarjeta en farmacias guadalajara
Farmacias Benavides,Salud,315.12,farmacias benavides
pago Farmacias Benavides,Salud,1165.43,pago farmacias benavides
FARMACIAS BENAVIDES,Salud,1215.52,farmacias benavides
Farmacias Benavides,Salud,1376.57,farmacias benavides
FARMACIAS BENAVIDES,Salud,359.64,farmacias benavides
pago con tarjeta en Laboratorios Chopo,Salud,101.72,pago con tarjeta en laboratorios chopo
*Laboratorios Chopo*,Salud,275.26,laboratorios chopo
laboratorios chopo,Salud,702.43,laboratorios chopo
$Laboratorios Chopo,Salud,415.76,laboratorios chopo
$Laboratorios Chopo,Salud,914.76,laboratorios chopo
Salud Digna,Salud,926.37,salud digna
COMPRA EN SALUD DIGNA,Salud,534.51,compra en salud digna
compra Salud Digna,Salud,116.27,compra salud digna
pago Salud Digna,Salud,1052.64,pago salud digna
pago Salud Digna,Salud,771.91,pago salud digna
$Laboratorios del Chopo,Salud,508.33,laboratorios del chopo
pago con tarjeta en Laboratorios del Chopo,Salud,1304.17,pago con tarjeta en laboratorios del chopo
$Laboratorios del Chopo,Salud,1370.95,laboratorios del chopo
$Laboratorios del Chopo,Salud,1148.83,laboratorios del chopo
pago con tarjeta en Laboratorios del Chopo,Salud,438.86,pago con tarjeta en laboratorios del chopo
pago con tarjeta en consulta medica,Salud,899.27,pago con tarjeta en consulta medica
$consulta medica,Salud,965.42,consulta medica
consulta medica,Salud,584.42,consulta medica
COMPRA EN CONSULTA MEDICA,Salud,113.68,compra en consulta medica
compra consulta medica,Salud,824.8,compra consulta medica
compra oftalmologo,Salud,1335.55,compra oftalmologo
compra oftalmologo,Salud,1254.32,compra oftalmologo
$oftalmologo,Salud,550.93,oftalmologo
$oftalmologo,Salud,894.56,oftalmologo
pago oftalmologo,Salud,1250.02,pago oftalmologo
*dermatologo*,Salud,1038.54,dermatologo
COMPRA EN DERMATOLOGO,Salud,991.0,compra en dermatologo
DERMATOLOGO,Salud,1354.71,dermatologo
pago con tarjeta en dermatologo,Salud,1410.7,pago con tarjeta en dermatologo
*dermatologo*,Salud,958.12,dermatologo
pago con tarjeta en analisis clinicos,Salud,1092.68,pago con tarjeta en analisis clinicos
COMPRA EN ANALISIS CLINICOS,Salud,1426.29,compra en analisis clinicos
analisis clinicos,Salud,575.23,analisis clinicos
*analisis clinicos*,Salud,1025.15,analisis clinicos
analisis clinicos,Salud,936.47,analisis clinicos
$estudios medicos,Salud,733.25,estudios medicos
ESTUDIOS MEDICOS,Salud,157.06,estudios medicos
pago estudios medicos,Salud,184.49,pago estudios medicos
*estudios medicos*,Salud,1010.41,estudios medicos
pago con tarjeta en estudios medicos,Salud,1320.5,pago con tarjeta en estudios medicos
ULTRASONIDO,Salud,1466.21,ultrasonido
ultrasonido,Salud,1141.99,ultrasonido
*ultrasonido*,Salud,707.12,ultrasonido
ULTRASONIDO,Salud,326.34,ultrasonido
$ultrasonido,Salud,1106.88,ultrasonido
$resonancia,Salud,565.24,resonancia
COMPRA EN RESONANCIA,Salud,1464.71,compra en resonancia
RESONANCIA,Salud,214.14,resonancia
RESONANCIA,Salud,1052.32,resonancia
$resonancia,Salud,142.91,resonancia
compra curacion,Salud,1276.63,compra curacion
compra curacion,Salud,1315.58,compra curacion
COMPRA EN CURACION,Salud,695.69,compra en curacion
curacion,Salud,1129.49,curacion
curacion,Salud,806.78,curacion
pago gasa,Salud,1313.84,pago gasa
pago con tarjeta en gasa,Salud,714.06,pago con tarjeta en gasa
Gasa,Salud,653.72,gasa
gasa,Salud,1322.79,gasa
pago gasa,Salud,1210.14,pago gasa
*jeringas*,Salud,487.56,jeringas
JERINGAS,Salud,497.4,jeringas
JERINGAS,Salud,972.15,jeringas
COMPRA EN JERINGAS,Salud,1270.4,compra en jeringas
compra jeringas,Salud,284.19,compra jeringas
COMPRA EN TERMOMETRO,Salud,667.43,compra en termometro
*termometro*,Salud,985.56,termometro
pago termometro,Salud,353.37,pago termometro
Termometro,Salud,196.79,termometro
pago con tarjeta en termometro,Salud,446.12,pago con tarjeta en termometro
COMPRA EN APARATO ORTOPEDICO,Salud,911.18,compra en aparato ortopedico
aparato ortopedico,Salud,930.13,aparato ortopedico
$aparato ortopedico,Salud,1012.97,aparato ortopedico
pago con tarjeta en aparato ortopedico,Salud,1457.18,pago con tarjeta en aparato ortopedico
pago aparato ortopedico,Salud,1301.18,pago aparato ortopedico
Lentes,Salud,555.27,lentes
COMPRA EN LENTES,Salud,938.2,compra en lentes
lentes,Salud,1457.75,lentes
LENTES,Salud,718.83,lentes
pago con tarjeta en lentes,Salud,703.24,pago con tarjeta en lentes
devlyn,Salud,923.04,devlyn
compra Devlyn,Salud,453.54,compra devlyn
$Devlyn,Salud,334.67,devlyn
pago con tarjeta en Devlyn,Salud,947.75,pago con tarjeta en devlyn
Devlyn,Salud,846.92,devlyn
compra Mas Vision,Salud,1281.84,compra mas vision
COMPRA EN MAS VISION,Salud,919.5,compra en mas vision
$Mas Vision,Salud,388.18,mas vision
mas vision,Salud,477.65,mas vision
pago Mas Vision,Salud,272.16,pago mas vision
Seguro De Gastos Medicos,Salud,1411.25,seguro de gastos medicos
compra seguro de gastos medicos,Salud,270.95,compra seguro de gastos medicos
$seguro de gastos medicos,Salud,352.01,seguro de gastos medicos
Seguro De Gastos Medicos,Salud,244.63,seguro de gastos medicos
SEGURO DE GASTOS MEDICOS,Salud,158.2,seguro de gastos medicos
axa,Salud,1481.28,axa
COMPRA EN AXA,Salud,1060.35,compra en axa
pago AXA,Salud,552.38,pago axa
pago con tarjeta en AXA,Salud,912.16,pago con tarjeta en axa
COMPRA EN AXA,Salud,821.83,compra en axa
pago GNP,Salud,579.71,pago gnp
$GNP,Salud,295.51,gnp
gnp,Salud,1086.55,gnp
*GNP*,Salud,327.33,gnp
Gnp,Salud,231.46,gnp
COMPRA EN METLIFE,Salud,318.63,compra en metlife
$MetLife,Salud,1315.4,metlife
$MetLife,Salud,457.43,metlife
compra MetLife,Salud,1273.36,compra metlife
pago MetLife,Salud,441.81,pago metlife
COMPRA EN MONTERREY,Salud,1310.45,compra en monterrey
compra Monterrey,Salud,142.54,compra monterrey
COMPRA EN MONTERREY,Salud,1213.71,compra en monterrey
monterrey,Salud,1047.12,monterrey
MONTERREY,Salud,1417.23,monterrey
veterinario,Salud,800.00,veterinario
Veterinario,Salud,750.00,veterinario
*Veterinario*,Salud,900.00,veterinario
$veterinario,Salud,850.00,veterinario
pago veterinario,Salud,700.00,pago veterinario
consulta veterinaria,Salud,600.00,consulta veterinaria
consulta con veterinario,Salud,650.00,consulta con veterinario
veterinaria,Salud,500.00,veterinaria
Veterinaria,Salud,550.00,veterinaria
pago a veterinaria,Salud,480.00,pago a veterinaria
vacuna perro,Salud,400.00,vacuna perro
vacuna para perro,Salud,450.00,vacuna para perro
vacuna para gato,Salud,420.00,vacuna para gato
vacunacion de mascotas,Salud,380.00,vacunacion de mascotas
medicamento para perro,Salud,300.00,medicamento para perro
medicina para perro,Salud,280.00,medicina para perro
medicamento para gato,Salud,320.00,medicamento para gato
desparasitante perro,Salud,250.00,desparasitante perro
desparasitante gato,Salud,230.00,desparasitante gato
pago de veterinaria,Salud,520.00,pago de veterinaria
urgencias veterinarias,Salud,1200.00,urgencias veterinarias
emergencia veterinaria,Salud,1500.00,emergencia veterinaria
operacion de mascota,Salud,3000.00,operacion de mascota
cirugia de perro,Salud,2800.00,cirugia de perro
hospital veterinario,Salud,2000.00,hospital veterinario
consulta de mascotas,Salud,500.00,consulta de mascotas
Renta,Vivienda,3501.37,renta
pago con tarjeta en renta,Vivienda,979.67,pago con tarjeta en renta
pago renta,Vivienda,4997.36,pago renta
$renta,Vivienda,1931.5,renta
compra renta,Vivienda,2331.09,compra renta
