descripcion,categoria,monto
gnp,Salud,1086.55
*GNP*,Salud,327.33
Gnp,Salud,231.46
COMPRA EN METLIFE,Salud,318.63
$MetLife,Salud,1315.4
$MetLife,Salud,457.43
compra MetLife,Salud,1273.36
pago MetLife,Salud,441.81
COMPRA EN MONTERREY,Salud,1310.45
compra Monterrey,Salud,142.54
COMPRA EN MONTERREY,Salud,1213.71
monterrey,Salud,1047.12
MONTERREY,Salud,1417.23
Renta,Vivienda,3501.37
pago con tarjeta en renta,Vivienda,979.67
pago renta,Vivienda,4997.36
$renta,Vivienda,1931.5
compra renta,Vivienda,2331.09
pago con tarjeta en hipoteca,Vivienda,907.17
pago con tarjeta en hipoteca,Vivienda,990.99
pago hipoteca,Vivienda,2318.63
hipoteca,Vivienda,3504.17
$hipoteca,Vivienda,4556.19
pago con tarjeta en agua,Vivienda,1927.38
compra agua,Vivienda,1040.94
$agua,Vivienda,3420.84
Agua,Vivienda,1960.64
*agua*,Vivienda,3035.48
LUZ,Vivienda,2248.51
pago con tarjeta en luz,Vivienda,3184.18
compra luz,Vivienda,2499.89
$luz,Vivienda,829.38
LUZ,Vivienda,1258.0
pago CFE,Vivienda,2585.72
CFE,Vivienda,2940.64
COMPRA EN CFE,Vivienda,2835.87
$CFE,Vivienda,4614.06
pago con tarjeta en CFE,Vivienda,2210.88
pago gas,Vivienda,2869.81
gas,Vivienda,3235.57
*gas*,Vivienda,4158.44
pago gas,Vivienda,3719.71
Gas,Vivienda,1381.0
*internet*,Vivienda,4535.21
Internet,Vivienda,4541.14
pago con tarjeta en internet,Vivienda,3446.12
INTERNET,Vivienda,771.2
Internet,Vivienda,2656.32
TELEFONO,Vivienda,956.39
telefono,Vivienda,1655.49
telefono,Vivienda,3515.43
TELEFONO,Vivienda,3114.19
telefono,Vivienda,3729.36
pago mantenimiento,Vivienda,1726.81
mantenimiento,Vivienda,4204.28
*mantenimiento*,Vivienda,3565.03
*mantenimiento*,Vivienda,2863.24
*mantenimiento*,Vivienda,1828.75
compra reparacion,Vivienda,3052.9
COMPRA EN REPARACION,Vivienda,4833.17
reparacion,Vivienda,891.68
$reparacion,Vivienda,2976.02
COMPRA EN REPARACION,Vivienda,2869.25
*plomeria*,Vivienda,3370.93
Plomeria,Vivienda,4478.93
pago con tarjeta en plomeria,Vivienda,4071.85
COMPRA EN PLOMERIA,Vivienda,2349.63
COMPRA EN PLOMERIA,Vivienda,3964.75
compra electricidad,Vivienda,1565.92
Electricidad,Vivienda,1859.27
COMPRA EN ELECTRICIDAD,Vivienda,4201.76
*electricidad*,Vivienda,3503.97
pago electricidad,Vivienda,3949.95
compra pintura,Vivienda,2407.75
Pintura,Vivienda,1256.06
PINTURA,Vivienda,4411.67
compra pintura,Vivienda,1475.33
compra pintura,Vivienda,1303.01
Muebles,Vivienda,3388.87
*muebles*,Vivienda,2960.14
pago con tarjeta en muebles,Vivienda,2259.08
pago con tarjeta en muebles,Vivienda,2735.45
pago muebles,Vivienda,1735.43
*electrodomesticos*,Vivienda,3628.15
ELECTRODOMESTICOS,Vivienda,2492.23
*electrodomesticos*,Vivienda,3760.33
*electrodomesticos*,Vivienda,2034.91
ELECTRODOMESTICOS,Vivienda,3214.49
$colchon,Vivienda,3102.74
*colchon*,Vivienda,3976.8
colchon,Vivienda,885.46
compra colchon,Vivienda,3180.88
pago con tarjeta en colchon,Vivienda,1955.17
$cortinas,Vivienda,2097.48
cortinas,Vivienda,2490.84
pago cortinas,Vivienda,3513.21
Cortinas,Vivienda,1720.16
COMPRA EN CORTINAS,Vivienda,3428.95
$seguro hogar,Vivienda,1538.73
SEGURO HOGAR,Vivienda,1356.46
pago seguro hogar,Vivienda,4973.63
pago seguro hogar,Vivienda,2133.25
SEGURO HOGAR,Vivienda,3787.93
predial,Vivienda,770.64
predial,Vivienda,4827.5
pago con tarjeta en predial,Vivienda,1267.15
pago con tarjeta en predial,Vivienda,4198.13
compra predial,Vivienda,1853.84
COMPRA EN BASURA,Vivienda,4079.52
*basura*,Vivienda,2296.92
COMPRA EN BASURA,Vivienda,590.12
basura,Vivienda,4671.5
compra basura,Vivienda,4289.15
Jardineria,Vivienda,918.18
$jardineria,Vivienda,901.06
*jardineria*,Vivienda,4391.09
Jardineria,Vivienda,4217.3
$jardineria,Vivienda,1216.87
izzi,Vivienda,1864.08
pago Izzi,Vivienda,2037.54
pago con tarjeta en Izzi,Vivienda,894.39
pago con tarjeta en Izzi,Vivienda,2992.11
IZZI,Vivienda,2286.42
*Totalplay*,Vivienda,4740.74
pago Totalplay,Vivienda,2820.56
TOTALPLAY,Vivienda,4038.24
$Totalplay,Vivienda,3049.59
totalplay,Vivienda,1438.3
compra Telmex,Vivienda,1023.65
pago Telmex,Vivienda,3325.78
COMPRA EN TELMEX,Vivienda,2896.17
$Telmex,Vivienda,1135.75
*Telmex*,Vivienda,1871.06
pago con tarjeta en Megacable,Vivienda,1951.38
MEGACABLE,Vivienda,1280.86
pago Megacable,Vivienda,1506.26
megacable,Vivienda,3078.69
pago con tarjeta en Megacable,Vivienda,3088.24
$Naturgy,Vivienda,1911.77
compra Naturgy,Vivienda,3228.14
$Naturgy,Vivienda,4232.0
naturgy,Vivienda,2761.55
pago con tarjeta en Naturgy,Vivienda,4213.4
Gas Natural,Vivienda,1047.93
Gas Natural,Vivienda,616.15
pago con tarjeta en Gas Natural,Vivienda,1546.48
gas natural,Vivienda,2477.8
$Gas Natural,Vivienda,501.5
pago cilindro de gas,Vivienda,3425.9
CILINDRO DE GAS,Vivienda,2239.07
Cilindro De Gas,Vivienda,4013.43
pago con tarjeta en cilindro de gas,Vivienda,761.74
pago cilindro de gas,Vivienda,760.01
COMPRA EN GAS LP,Vivienda,1838.1
*gas lp*,Vivienda,1576.31
GAS LP,Vivienda,835.83
GAS LP,Vivienda,1299.95
compra gas lp,Vivienda,2792.4
*Home Depot*,Vivienda,1530.03
Home Depot,Vivienda,3268.49
home depot,Vivienda,1281.89
home depot,Vivienda,2871.69
*Home Depot*,Vivienda,3759.43
Sodimac,Vivienda,4489.72
SODIMAC,Vivienda,2154.92
$Sodimac,Vivienda,4223.92
Sodimac,Vivienda,2241.85
Sodimac,Vivienda,549.64
pago IKEA,Vivienda,1102.12
Ikea,Vivienda,586.37
Ikea,Vivienda,3921.3
COMPRA EN IKEA,Vivienda,2908.9
compra IKEA,Vivienda,1955.75
pago Elektra,Vivienda,3331.84
Elektra,Vivienda,4106.92
elektra,Vivienda,2171.34
compra Elektra,Vivienda,2965.82
Elektra,Vivienda,4299.61
*Coppel*,Vivienda,1171.57
coppel,Vivienda,4390.97
pago Coppel,Vivienda,2642.08
pago con tarjeta en Coppel,Vivienda,3263.37
$Coppel,Vivienda,2265.77
compra ferreteria,Vivienda,4799.01
compra ferreteria,Vivienda,3464.11
pago con tarjeta en ferreteria,Vivienda,3596.61
compra ferreteria,Vivienda,4283.92
COMPRA EN FERRETERIA,Vivienda,2576.65
*cerrajero*,Vivienda,3467.09
$cerrajero,Vivienda,3365.01
compra cerrajero,Vivienda,799.93
COMPRA EN CERRAJERO,Vivienda,4471.07
Cerrajero,Vivienda,3818.45
compra fumigacion,Vivienda,2494.73
COMPRA EN FUMIGACION,Vivienda,687.53
pago con tarjeta en fumigacion,Vivienda,3857.93
compra fumigacion,Vivienda,824.38
COMPRA EN FUMIGACION,Vivienda,974.15
compra vigilancia,Vivienda,4804.26
Vigilancia,Vivienda,2244.18
vigilancia,Vivienda,2073.66
VIGILANCIA,Vivienda,3476.17
VIGILANCIA,Vivienda,1283.49
Seguridad Privada,Vivienda,2973.27
$seguridad privada,Vivienda,3939.68
$seguridad privada,Vivienda,871.78
compra seguridad privada,Vivienda,1829.5
COMPRA EN SEGURIDAD PRIVADA,Vivienda,3310.99
pago administracion condominios,Vivienda,3503.08
ADMINISTRACION CONDOMINIOS,Vivienda,1046.24
administracion condominios,Vivienda,3985.85
pago con tarjeta en administracion condominios,Vivienda,4819.22
*administracion condominios*,Vivienda,688.78
pago cuota de mantenimiento,Vivienda,1949.97
cuota de mantenimiento,Vivienda,1817.7
COMPRA EN CUOTA DE MANTENIMIENTO,Vivienda,1012.8
Cuota De Mantenimiento,Vivienda,4641.34
pago cuota de mantenimiento,Vivienda,1076.43
compra Infanavit,Vivienda,4676.38
*Infanavit*,Vivienda,927.55
COMPRA EN INFANAVIT,Vivienda,2444.35
pago con tarjeta en Infanavit,Vivienda,1236.58
infanavit,Vivienda,1583.12
Fovissste,Vivienda,3541.92
FOVISSSTE,Vivienda,4491.16
COMPRA EN FOVISSSTE,Vivienda,4965.87
*Fovissste*,Vivienda,4456.71
pago con tarjeta en Fovissste,Vivienda,2948.07
Articulo De Limpieza,Vivienda,3897.69
Articulo De Limpieza,Vivienda,4902.79
COMPRA EN ARTICULO DE LIMPIEZA,Vivienda,3010.16
*articulo de limpieza*,Vivienda,3452.73
$articulo de limpieza,Vivienda,3889.34
pago con tarjeta en detergente,Vivienda,4718.25
pago detergente,Vivienda,985.75
Detergente,Vivienda,3766.91
pago detergente,Vivienda,1460.8
DETERGENTE,Vivienda,1178.04
$lavadora,Vivienda,2940.07
compra lavadora,Vivienda,2787.62
$lavadora,Vivienda,3042.6
*lavadora*,Vivienda,3097.28
pago con tarjeta en lavadora,Vivienda,3925.05
COMPRA EN REFRIGERADOR,Vivienda,2577.01
COMPRA EN REFRIGERADOR,Vivienda,1610.05
Refrigerador,Vivienda,4466.53
refrigerador,Vivienda,946.3
pago refrigerador,Vivienda,1418.16
Microondas,Vivienda,3798.82
*microondas*,Vivienda,3267.4
pago microondas,Vivienda,2099.23
pago con tarjeta en microondas,Vivienda,2994.02
$microondas,Vivienda,4316.22
$colegio,Educación,1682.09
pago con tarjeta en colegio,Educación,1920.34
pago con tarjeta en colegio,Educación,1388.92
COLEGIO,Educación,1699.74
$colegio,Educación,1765.64
Universidad,Educación,336.96
universidad,Educación,1471.93
COMPRA EN UNIVERSIDAD,Educación,512.7
Universidad,Educación,1359.78
$universidad,Educación,1421.67
Cursos,Educación,155.24
cursos,Educación,444.51
cursos,Educación,864.42
*cursos*,Educación,1013.85
CURSOS,Educación,223.22
*libros*,Educación,1435.59
COMPRA EN LIBROS,Educación,1246.63
pago libros,Educación,1238.8
LIBROS,Educación,612.66
LIBROS,Educación,1046.69
CUADERNOS,Educación,211.25
$cuadernos,Educación,498.7
cuadernos,Educación,1082.81
cuadernos,Educación,332.52
compra cuadernos,Educación,924.64
pago lapiceros,Educación,805.7
compra lapiceros,Educación,1236.63
pago con tarjeta en lapiceros,Educación,1872.92
compra lapiceros,Educación,900.37
lapiceros,Educación,1042.72
$mochila,Educación,1983.14
*mochila*,Educación,1186.56
Mochila,Educación,450.5
pago mochila,Educación,414.06
compra mochila,Educación,1213.04
$computadora,Educación,618.83
compra computadora,Educación,1866.27
COMPUTADORA,Educación,1887.29
COMPUTADORA,Educación,916.35
COMPUTADORA,Educación,816.14
Tablet,Educación,1013.72
Tablet,Educación,970.56
Tablet,Educación,1441.44
tablet,Educación,194.7
*tablet*,Educación,1043.28
compra pizarron,Educación,1582.4
pizarron,Educación,1554.47
$pizarron,Educación,527.93
pago con tarjeta en pizarron,Educación,1527.61
COMPRA EN PIZARRON,Educación,996.91
Tutorias,Educación,231.02
$tutorias,Educación,597.24
TUTORIAS,Educación,623.66
COMPRA EN TUTORIAS,Educación,1952.19
$tutorias,Educación,914.89
pago con tarjeta en ingles,Educación,1575.75
pago con tarjeta en ingles,Educación,1026.39
COMPRA EN INGLES,Educación,188.35
pago ingles,Educación,1822.23
pago con tarjeta en ingles,Educación,757.25
pago computacion,Educación,881.08
*computacion*,Educación,264.21
pago computacion,Educación,1491.65
computacion,Educación,343.18
*computacion*,Educación,847.55
COMPRA EN ARTE,Educación,594.3
pago con tarjeta en arte,Educación,1039.51
Arte,Educación,587.41
ARTE,Educación,1477.8
Arte,Educación,1174.13
MUSICA,Educación,686.53
Musica,Educación,1256.2
pago con tarjeta en musica,Educación,447.73
compra musica,Educación,387.37
musica,Educación,894.18
pago con tarjeta en deporte,Educación,1716.17
*deporte*,Educación,1135.7
COMPRA EN DEPORTE,Educación,318.06
pago deporte,Educación,867.56
pago con tarjeta en deporte,Educación,1604.23
compra actividades,Educación,1132.72
$actividades,Educación,529.68
pago actividades,Educación,1020.92
Actividades,Educación,367.82
$actividades,Educación,1714.95
pago excursiones,Educación,285.37
EXCURSIONES,Educación,1336.85
$excursiones,Educación,652.12
COMPRA EN EXCURSIONES,Educación,312.68
EXCURSIONES,Educación,198.72
compra material,Educación,482.59
*material*,Educación,1757.06
material,Educación,1537.83
$material,Educación,134.1
COMPRA EN MATERIAL,Educación,1767.88
$uniforme,Educación,407.08
pago con tarjeta en uniforme,Educación,1164.35
compra uniforme,Educación,151.62
pago con tarjeta en uniforme,Educación,278.89
UNIFORME,Educación,1827.52
compra colegiatura,Educación,842.38
COLEGIATURA,Educación,300.4
colegiatura,Educación,958.22
pago colegiatura,Educación,277.48
Colegiatura,Educación,1932.51
COMPRA EN INSCRIPCION,Educación,454.77
COMPRA EN INSCRIPCION,Educación,645.56
pago con tarjeta en inscripcion,Educación,1197.43
Inscripcion,Educación,693.46
pago con tarjeta en inscripcion,Educación,852.34
COMPRA EN REINSCRIPCION,Educación,1088.36
reinscripcion,Educación,1159.86
pago reinscripcion,Educación,701.85
REINSCRIPCION,Educación,789.89
pago reinscripcion,Educación,420.82
$tramite escolar,Educación,367.35
compra tramite escolar,Educación,163.43
COMPRA EN TRAMITE ESCOLAR,Educación,1798.58
Tramite Escolar,Educación,936.61
$tramite escolar,Educación,1938.74
DIPLOMADO,Educación,1776.59
*diplomado*,Educación,1937.54
*diplomado*,Educación,332.62
pago diplomado,Educación,415.31
$diplomado,Educación,1961.59
*maestria*,Educación,346.67
Maestria,Educación,1163.54
compra maestria,Educación,155.79
maestria,Educación,1791.49
Maestria,Educación,1949.57
pago con tarjeta en certificacion,Educación,1656.22
pago certificacion,Educación,310.42
pago con tarjeta en certificacion,Educación,995.22
pago con tarjeta en certificacion,Educación,779.82
pago certificacion,Educación,1656.58
Udemy,Educación,314.59
compra Udemy,Educación,555.76
udemy,Educación,1820.18
UDEMY,Educación,955.67
pago con tarjeta en Udemy,Educación,927.46
$Coursera,Educación,1502.33
COURSERA,Educación,159.12
pago Coursera,Educación,717.7
COMPRA EN COURSERA,Educación,107.25
*Coursera*,Educación,417.55
platzi,Educación,531.64
COMPRA EN PLATZI,Educación,238.07
PLATZI,Educación,1418.89
pago con tarjeta en Platzi,Educación,509.51
Platzi,Educación,163.06
Domestika,Educación,875.78
domestika,Educación,1882.78
compra Domestika,Educación,1555.52
DOMESTIKA,Educación,212.28
pago Domestika,Educación,1336.46
$Libreria Gandhi,Educación,1374.39
*Libreria Gandhi*,Educación,421.25
pago Libreria Gandhi,Educación,949.41
$Libreria Gandhi,Educación,530.79
Libreria Gandhi,Educación,1138.63
EL SOTANO,Educación,884.25
el sotano,Educación,134.2
COMPRA EN EL SOTANO,Educación,1505.82
$El Sotano,Educación,632.07
pago con tarjeta en El Sotano,Educación,655.21
PORRUA,Educación,1669.47
PORRUA,Educación,1629.32
porrua,Educación,1965.42
pago con tarjeta en Porrua,Educación,679.03
*Porrua*,Educación,1112.08
OFFICE DEPOT,Educación,1758.23
COMPRA EN OFFICE DEPOT,Educación,1437.0
office depot,Educación,283.42
pago con tarjeta en Office Depot,Educación,123.57
COMPRA EN OFFICE DEPOT,Educación,639.27
Officemax,Educación,664.75
pago con tarjeta en OfficeMax,Educación,191.47
officemax,Educación,1766.75
pago OfficeMax,Educación,1368.83
$OfficeMax,Educación,1795.37
*papeleria*,Educación,1109.5
compra papeleria,Educación,642.05
PAPELERIA,Educación,608.78
pago papeleria,Educación,1189.36
Papeleria,Educación,220.92
fotocopias,Educación,518.43
compra fotocopias,Educación,1501.37
pago con tarjeta en fotocopias,Educación,1828.29
fotocopias,Educación,1750.25
pago fotocopias,Educación,1770.06
compra impresiones,Educación,147.77
*impresiones*,Educación,917.81
$impresiones,Educación,925.73
pago con tarjeta en impresiones,Educación,747.55
impresiones,Educación,942.42
COMPRA EN ESCANEO,Educación,1901.41
$escaneo,Educación,1224.22
ESCANEO,Educación,551.12
*escaneo*,Educación,350.22
escaneo,Educación,830.57
LICENCIA SOFTWARE,Educación,1339.23
pago licencia software,Educación,615.98
*licencia software*,Educación,1969.3
COMPRA EN LICENCIA SOFTWARE,Educación,1304.8
$licencia software,Educación,1793.81
pago ChatGPT,Educación,787.52
$ChatGPT,Educación,186.73
COMPRA EN CHATGPT,Educación,553.83
compra ChatGPT,Educación,955.88
compra ChatGPT,Educación,1282.79
PLAGIUM,Educación,950.19
plagium,Educación,493.29
$Plagium,Educación,1722.86
compra Plagium,Educación,516.23
plagium,Educación,305.25
*Duolingo*,Educación,1624.91
compra Duolingo,Educación,515.17
$Duolingo,Educación,1870.33
pago con tarjeta en Duolingo,Educación,1651.7
compra Duolingo,Educación,1272.43
COMPRA EN CLASES PARTICULARES,Educación,1110.04
*clases particulares*,Educación,1192.08
*clases particulares*,Educación,1037.74
CLASES PARTICULARES,Educación,956.13
compra clases particulares,Educación,840.76
REGULARIZACION,Educación,880.94
COMPRA EN REGULARIZACION,Educación,1374.79
compra regularizacion,Educación,1665.2
*regularizacion*,Educación,1912.66
Regularizacion,Educación,102.97
*cine*,Ocio y Servicios,731.69
*cine*,Ocio y Servicios,88.53
cine,Ocio y Servicios,702.26
pago cine,Ocio y Servicios,682.03
compra cine,Ocio y Servicios,483.42
pago teatro,Ocio y Servicios,137.67
COMPRA EN TEATRO,Ocio y Servicios,763.62
compra teatro,Ocio y Servicios,434.03
TEATRO,Ocio y Servicios,387.03
*teatro*,Ocio y Servicios,442.04
pago con tarjeta en concierto,Ocio y Servicios,664.13
CONCIERTO,Ocio y Servicios,613.98
pago concierto,Ocio y Servicios,181.93
pago con tarjeta en concierto,Ocio y Servicios,631.94
CONCIERTO,Ocio y Servicios,737.77
Evento,Ocio y Servicios,907.33
$evento,Ocio y Servicios,837.57
COMPRA EN EVENTO,Ocio y Servicios,829.01
pago con tarjeta en evento,Ocio y Servicios,450.93
EVENTO,Ocio y Servicios,476.41
*boletos*,Ocio y Servicios,598.34
Boletos,Ocio y Servicios,166.85
compra boletos,Ocio y Servicios,255.25
pago con tarjeta en boletos,Ocio y Servicios,742.71
pago con tarjeta en boletos,Ocio y Servicios,114.02
Suscripcion,Ocio y Servicios,707.87
pago suscripcion,Ocio y Servicios,433.7
*suscripcion*,Ocio y Servicios,565.41
$suscripcion,Ocio y Servicios,799.54
pago suscripcion,Ocio y Servicios,415.03
NETFLIX,Ocio y Servicios,864.68
pago con tarjeta en Netflix,Ocio y Servicios,459.44
COMPRA EN NETFLIX,Ocio y Servicios,895.17
pago con tarjeta en Netflix,Ocio y Servicios,76.05
compra Netflix,Ocio y Servicios,549.52
pago Disney+,Ocio y Servicios,208.52
Disney+,Ocio y Servicios,663.45
Disney+,Ocio y Servicios,895.59
compra Disney+,Ocio y Servicios,949.31
DISNEY+,Ocio y Servicios,74.18
pago HBO,Ocio y Servicios,655.06
compra HBO,Ocio y Servicios,146.2
Hbo,Ocio y Servicios,554.53
hbo,Ocio y Servicios,601.21
$HBO,Ocio y Servicios,481.3
spotify,Ocio y Servicios,208.99
pago Spotify,Ocio y Servicios,511.31
COMPRA EN SPOTIFY,Ocio y Servicios,978.58
SPOTIFY,Ocio y Servicios,965.82
spotify,Ocio y Servicios,144.34
$videojuegos,Ocio y Servicios,929.36
VIDEOJUEGOS,Ocio y Servicios,72.18
Videojuegos,Ocio y Servicios,324.78
Videojuegos,Ocio y Servicios,843.71
Videojuegos,Ocio y Servicios,958.12
Playstation,Ocio y Servicios,500.31
$playstation,Ocio y Servicios,622.8
pago con tarjeta en playstation,Ocio y Servicios,984.81
playstation,Ocio y Servicios,79.39
$playstation,Ocio y Servicios,564.34
Xbox,Ocio y Servicios,503.98
pago xbox,Ocio y Servicios,209.92
Xbox,Ocio y Servicios,841.97
XBOX,Ocio y Servicios,388.38
pago xbox,Ocio y Servicios,296.37
GIMNASIO,Ocio y Servicios,218.31
Gimnasio,Ocio y Servicios,375.33
Gimnasio,Ocio y Servicios,968.1
*gimnasio*,Ocio y Servicios,567.59
compra gimnasio,Ocio y Servicios,601.44
COMPRA EN SPA,Ocio y Servicios,999.73
pago spa,Ocio y Servicios,514.45
SPA,Ocio y Servicios,793.27
SPA,Ocio y Servicios,886.3
COMPRA EN SPA,Ocio y Servicios,359.53
COMPRA EN SALON,Ocio y Servicios,639.63
Salon,Ocio y Servicios,744.28
COMPRA EN SALON,Ocio y Servicios,87.49
compra salon,Ocio y Servicios,725.34
$salon,Ocio y Servicios,266.36
Belleza,Ocio y Servicios,619.16
$belleza,Ocio y Servicios,556.72
$belleza,Ocio y Servicios,174.12
*belleza*,Ocio y Servicios,168.58
compra belleza,Ocio y Servicios,696.72
pago con tarjeta en barberia,Ocio y Servicios,883.24
$barberia,Ocio y Servicios,191.36
BARBERIA,Ocio y Servicios,537.26
barberia,Ocio y Servicios,870.37
*barberia*,Ocio y Servicios,406.56
$lavanderia,Ocio y Servicios,546.32
COMPRA EN LAVANDERIA,Ocio y Servicios,469.16
pago con tarjeta en lavanderia,Ocio y Servicios,394.15
compra lavanderia,Ocio y Servicios,872.3
pago lavanderia,Ocio y Servicios,471.28
plaza,Ocio y Servicios,816.26
PLAZA,Ocio y Servicios,240.45
pago con tarjeta en plaza,Ocio y Servicios,106.5
compra plaza,Ocio y Servicios,658.19
compra plaza,Ocio y Servicios,898.44
CINEPOLIS,Ocio y Servicios,346.3
CINEPOLIS,Ocio y Servicios,475.9
*Cinepolis*,Ocio y Servicios,68.16
$Cinepolis,Ocio y Servicios,703.34
CINEPOLIS,Ocio y Servicios,707.91
Cinemex,Ocio y Servicios,390.78
pago Cinemex,Ocio y Servicios,366.74
CINEMEX,Ocio y Servicios,250.17
pago con tarjeta en Cinemex,Ocio y Servicios,803.72
CINEMEX,Ocio y Servicios,997.93
COMPRA EN TICKETMASTER,Ocio y Servicios,994.92
COMPRA EN TICKETMASTER,Ocio y Servicios,329.89
*Ticketmaster*,Ocio y Servicios,91.95
ticketmaster,Ocio y Servicios,842.44
compra Ticketmaster,Ocio y Servicios,115.58
COMPRA EN SUPERBOLETOS,Ocio y Servicios,940.24
pago con tarjeta en Superboletos,Ocio y Servicios,777.81
superboletos,Ocio y Servicios,715.03
COMPRA EN SUPERBOLETOS,Ocio y Servicios,429.15
pago Superboletos,Ocio y Servicios,123.77
prime video,Ocio y Servicios,436.75
$Prime Video,Ocio y Servicios,340.83
COMPRA EN PRIME VIDEO,Ocio y Servicios,155.45
pago Prime Video,Ocio y Servicios,55.78
PRIME VIDEO,Ocio y Servicios,546.45
pago Apple Music,Ocio y Servicios,123.02
*Apple Music*,Ocio y Servicios,849.97
$Apple Music,Ocio y Servicios,97.71
pago Apple Music,Ocio y Servicios,724.6
COMPRA EN APPLE MUSIC,Ocio y Servicios,330.53
pago YouTube Premium,Ocio y Servicios,316.95
COMPRA EN YOUTUBE PREMIUM,Ocio y Servicios,327.89
COMPRA EN YOUTUBE PREMIUM,Ocio y Servicios,434.85
$YouTube Premium,Ocio y Servicios,355.42
Youtube Premium,Ocio y Servicios,850.12
compra Crunchyroll,Ocio y Servicios,658.45
Crunchyroll,Ocio y Servicios,81.99
CRUNCHYROLL,Ocio y Servicios,389.92
pago con tarjeta en Crunchyroll,Ocio y Servicios,771.63
compra Crunchyroll,Ocio y Servicios,733.8
nintendo switch,Ocio y Servicios,643.54
nintendo switch,Ocio y Servicios,655.24
pago Nintendo Switch,Ocio y Servicios,279.84
nintendo switch,Ocio y Servicios,338.03
$Nintendo Switch,Ocio y Servicios,585.12
steam,Ocio y Servicios,185.73
*Steam*,Ocio y Servicios,734.62
*Steam*,Ocio y Servicios,200.69
pago Steam,Ocio y Servicios,177.14
pago Steam,Ocio y Servicios,735.64
pago con tarjeta en Epic Games,Ocio y Servicios,761.21
pago con tarjeta en Epic Games,Ocio y Servicios,50.13
pago Epic Games,Ocio y Servicios,312.36
$Epic Games,Ocio y Servicios,900.94
COMPRA EN EPIC GAMES,Ocio y Servicios,847.37
pago con tarjeta en Smart Fit,Ocio y Servicios,373.35
pago con tarjeta en Smart Fit,Ocio y Servicios,128.58
pago con tarjeta en Smart Fit,Ocio y Servicios,392.22
SMART FIT,Ocio y Servicios,586.74
pago Smart Fit,Ocio y Servicios,347.68
sports world,Ocio y Servicios,911.84
SPORTS WORLD,Ocio y Servicios,462.13
compra Sports World,Ocio y Servicios,408.45
COMPRA EN SPORTS WORLD,Ocio y Servicios,965.87
Sports World,Ocio y Servicios,160.22
*Planet Fitness*,Ocio y Servicios,519.12
compra Planet Fitness,Ocio y Servicios,933.66
pago con tarjeta en Planet Fitness,Ocio y Servicios,718.66
*Planet Fitness*,Ocio y Servicios,291.52
Planet Fitness,Ocio y Servicios,967.75
compra tintoreria,Ocio y Servicios,692.3
pago con tarjeta en tintoreria,Ocio y Servicios,333.15
Tintoreria,Ocio y Servicios,501.64
TINTORERIA,Ocio y Servicios,661.94
compra tintoreria,Ocio y Servicios,392.05
*estetica*,Ocio y Servicios,525.38
pago con tarjeta en estetica,Ocio y Servicios,502.17
pago estetica,Ocio y Servicios,652.7
ESTETICA,Ocio y Servicios,401.32
*estetica*,Ocio y Servicios,779.19
pago unas,Ocio y Servicios,574.47
unas,Ocio y Servicios,857.83
pago con tarjeta en unas,Ocio y Servicios,674.49
$unas,Ocio y Servicios,886.15
compra unas,Ocio y Servicios,806.43
*masaje*,Ocio y Servicios,627.36
pago masaje,Ocio y Servicios,425.0
COMPRA EN MASAJE,Ocio y Servicios,669.06
pago masaje,Ocio y Servicios,750.24
$masaje,Ocio y Servicios,662.59
Antro,Ocio y Servicios,698.08
$antro,Ocio y Servicios,239.25
antro,Ocio y Servicios,131.07
ANTRO,Ocio y Servicios,683.52
compra antro,Ocio y Servicios,155.94
Bar,Ocio y Servicios,304.21
Bar,Ocio y Servicios,703.64
Bar,Ocio y Servicios,915.52
pago bar,Ocio y Servicios,68.36
bar,Ocio y Servicios,951.4
CANTARITO,Ocio y Servicios,518.22
$cantarito,Ocio y Servicios,554.39
$cantarito,Ocio y Servicios,303.34
pago con tarjeta en cantarito,Ocio y Servicios,965.32
$cantarito,Ocio y Servicios,774.19
*cerveceria*,Ocio y Servicios,785.29
compra cerveceria,Ocio y Servicios,545.23
$cerveceria,Ocio y Servicios,66.1
pago con tarjeta en cerveceria,Ocio y Servicios,164.2
$cerveceria,Ocio y Servicios,463.73
Pool,Ocio y Servicios,374.71
*pool*,Ocio y Servicios,542.06
pool,Ocio y Servicios,659.77
Pool,Ocio y Servicios,664.14
*pool*,Ocio y Servicios,885.29
BILLAR,Ocio y Servicios,72.42
COMPRA EN BILLAR,Ocio y Servicios,794.04
pago con tarjeta en billar,Ocio y Servicios,326.59
$billar,Ocio y Servicios,194.71
COMPRA EN BILLAR,Ocio y Servicios,112.41
pago con tarjeta en boliche,Ocio y Servicios,940.51
pago boliche,Ocio y Servicios,509.87
*boliche*,Ocio y Servicios,688.06
boliche,Ocio y Servicios,959.9
pago con tarjeta en boliche,Ocio y Servicios,277.2
COMPRA EN PARQUE DE DIVERSIONES,Ocio y Servicios,991.76
pago parque de diversiones,Ocio y Servicios,662.36
$parque de diversiones,Ocio y Servicios,397.4
*parque de diversiones*,Ocio y Servicios,183.76
pago con tarjeta en parque de diversiones,Ocio y Servicios,792.26
SIX FLAGS,Ocio y Servicios,189.61
Six Flags,Ocio y Servicios,550.9
six flags,Ocio y Servicios,418.76
compra Six Flags,Ocio y Servicios,377.93
six flags,Ocio y Servicios,370.47
